Tesla,Ford,Tesla_Log_Return,Ford_Log_Return,Tesla_MA_5,Tesla_MA_50,Tesla_Volatility,polarity,date,Tesla_Bollinger_Upper_5,Tesla_Bollinger_Lower_5,Tesla_Bollinger_Upper_50,Tesla_Bollinger_Lower_50,Tesla_RSI_5,Tesla_RSI_50,Tesla_MACD,Tesla_Log_Return_Lag1,Tesla_Log_Return_Lag5,Tesla_Direction,Tesla_MA_100,Tesla_MA_200
162.5,11.751986503601074,-0.042056898779332184,-0.023722991339237692,172.5259979248047,198.7104000854492,0.029040383653536082,0.685,2024-03-14,185.5780898222924,159.47390602731699,237.7696766148255,159.65112355607292,11.565953379736683,31.218160699608617,-8.004072061799775,-0.04646099727496628,0.01188110874296599,0,,
163.57000732421875,11.73253059387207,0.006563076277915342,-0.001656914136184411,170.1720001220703,197.21280029296875,0.029325797520872426,0.7505,2024-03-15,184.83289215471981,155.5111080894208,235.7920620948201,158.6335384911174,18.646838661845422,31.58024410910207,-8.656999557610959,-0.042056898779332184,-0.018701625030085045,1,,
173.8000030517578,11.849271774291992,0.060664152342604714,0.009901035746027352,169.37799987792968,195.93020050048827,0.03311105401617401,0.478,2024-03-18,182.30944648853736,156.446553267322,233.22704543149092,158.63335556948562,42.52916799709641,34.943890254213585,-8.253829138085479,0.006563076277915342,0.013763678693560029,1,,
171.32000732421875,11.96601390838623,-0.014372034891457558,0.009804045246063627,168.13400268554688,194.60680053710936,0.03127923538911632,0.361,2024-03-19,177.96446162171085,158.3035437493829,230.55607796293722,158.6575231112815,39.208904104149475,34.61234364460171,-8.04172856386677,0.060664152342604714,-0.0012947061441473569,0,,
175.66000366210938,12.549721717834473,0.025017133837829976,0.04762803416161167,169.37000427246093,193.31100067138672,0.0319070912540098,0.371,2024-03-20,181.36285283781288,157.37715570710898,227.12287130294231,159.49913003983113,62.31077726840828,35.029346672933116,-7.437698735870924,-0.014372034891457558,-0.04646099727496628,1,,
172.82000732421875,12.569178581237793,-0.016299696542812377,0.0015491814580236496,171.4340057373047,192.06820068359374,0.03193657134779299,0.9935,2024-03-21,180.77389164830944,162.09411982629993,224.15575349913723,159.98064786805026,74.61834811893124,35.46364793846797,-7.106248308003671,0.025017133837829976,-0.042056898779332184,0,,
170.8300018310547,12.559450149536133,-0.01158171211632812,-0.0007742907336430136,172.88600463867186,190.80600067138673,0.031633424732096925,0.8645,2024-03-22,176.78655773541018,168.98545154193354,221.0848289643285,160.52717237844496,66.59048891610243,35.303432854330126,-6.924328914593616,-0.016299696542812377,0.006563076277915342,0,,
172.6300048828125,12.549721717834473,0.010481683435756076,-0.0007748907243805925,172.65200500488282,189.7142007446289,0.03146127651611081,0.586,2024-03-25,176.41640111757928,168.88760889218636,218.53550410016075,160.89289738909704,45.6505634408407,36.98937172544102,-6.559299757057033,-0.01158171211632812,0.060664152342604714,1,,
177.6699981689453,12.102210998535156,0.0287772826285837,-0.036310328392428856,173.92200317382813,188.88980072021485,0.033033304725964,0.792,2024-03-26,179.35451998659047,168.4894863610658,216.64313260507728,161.13646883535242,69.83133361480932,40.01937016447866,-5.796507650611119,0.010481683435756076,-0.014372034891457558,1,,
179.8300018310547,12.705376625061035,0.012084083617363902,0.04863709711678016,174.7560028076172,188.08820068359375,0.028784390599001026,0.9915,2024-03-27,182.36640781731734,167.14559779791705,214.46572646169113,161.71067490549638,65.07591329301836,40.348679939108884,-4.960513455699072,0.0287772826285837,0.025017133837829976,1,,
175.7899932861328,12.919402122497559,-0.02272190773999231,0.01670496175666388,175.35,187.29300048828125,0.025685629629641184,0.8185,2024-03-28,182.66267111846264,168.03732888153735,212.66968592982016,161.91631504674234,59.880183592603906,40.4109568876664,-4.571282064913305,0.012084083617363902,-0.016299696542812377,0,,
175.22000122070312,12.929131507873535,-0.0032477284143495326,0.0007527998279964474,176.22799987792968,186.55980041503906,0.02592695341635092,0.387,2024-04-01,181.63237368013142,170.82362607572793,211.14296275928513,161.976638070793,66.12784420564049,41.02438462369549,-4.259703766070828,-0.02272190773999231,-0.01158171211632812,0,,
166.6300048828125,12.919402122497559,-0.05026651935105258,-0.0007527998279965122,175.0279998779297,185.64860046386718,0.02401924767265284,-0.177,2024-04-02,185.08698571822845,164.96901403763093,209.7264345320393,161.57076639569507,35.294113247176,39.280000574448536,-4.65228795471748,-0.0032477284143495326,0.010481683435756076,0,,
168.3800048828125,13.279356002807617,0.010447544054431742,0.02748042717270784,173.1700012207031,184.8402005004883,0.02413489829123727,0.382,2024-04-03,184.17627595693543,162.1637264844708,208.45510771008298,161.2252932908936,22.85215384354703,40.41544198711318,-4.767249493346981,-0.05026651935105258,0.0287772826285837,1,,
171.11000061035156,12.851304054260254,0.016083269202606634,-0.03276536009393526,171.4260009765625,184.07960052490233,0.023181276595599685,0.165,2024-04-04,179.53885458650635,163.31314736661867,206.93762661081826,161.2215744389864,25.339352847560505,41.08323592513555,-4.585214008385833,0.010447544054431742,0.012084083617363902,1,,
164.89999389648438,12.919402122497559,-0.03696743555877544,0.005284932921227392,169.2480010986328,183.22100036621094,0.025355385815480896,0.0,2024-04-05,177.35011908631424,161.1458831109514,205.65896137485473,160.78303935756716,22.569258407135422,40.160438658516426,-4.885725614056582,0.016083269202606634,-0.02272190773999231,0,,
172.97999572753906,13.045873641967773,0.04783676362708771,0.00974166581517345,168.8,183.02800018310546,0.030082674852049116,0.878,2024-04-08,175.3500984280091,162.24990157199093,205.65194830581854,160.4040520603924,45.906422801181215,47.59985860781833,-4.4209328443520235,-0.03696743555877544,-0.0032477284143495326,1,,
