Tesla,Ford,Tesla_Log_Return,Ford_Log_Return,Tesla_MA_5,Tesla_MA_50,Tesla_Volatility,polarity,date,Tesla_MA_100,Tesla_MA_200,Tesla_Bollinger_Upper_5,Tesla_Bollinger_Lower_5,Tesla_Bollinger_Upper_50,Tesla_Bollinger_Lower_50,Tesla_RSI_5,Tesla_RSI_50,Tesla_MACD,Tesla_Log_Return_Lag1,Tesla_Log_Return_Lag5,Tesla_Direction
248.4199981689453,11.518999099731445,-0.00024148746074577508,-0.0024640632876146407,253.62599487304686,233.46199951171874,0.02333883282339113,0.557,2024-01-02,241.6211993408203,229.56959953308106,264.750092153406,242.50189759268773,266.981892667043,199.9421063563945,40.602206675716126,56.07223963608795,4.446429622135099,-0.018738327073791184,-0.007731210565404946,0
238.4499969482422,11.092720985412598,-0.04096122279932548,-0.03770864166020537,249.9939971923828,233.99119934082032,0.026416672555733847,0.9225000000000001,2024-01-03,241.55229934692383,229.8611994934082,266.70313296832734,233.2848614164383,266.95837611960695,201.02402256203368,17.361657688926087,55.63074331388968,3.133420695209537,-0.00024148746074577508,0.01598774007390915,0
237.92999267578125,11.064301490783691,-0.0021831499656647054,-0.002565282428574396,245.2919952392578,234.50819915771484,0.024897957795339282,0.796,2024-01-04,241.5050993347168,230.1345994567871,258.8264060265399,231.75758445197567,266.878221443959,202.1381768714707,0.0,55.490884821017005,2.027519677220141,-0.04096122279932548,0.018647455510860632,0
237.49000549316406,11.225340843200684,-0.0018509415250833076,0.014449954117226238,242.15399780273438,234.92759918212892,0.022194899018471024,0.34,2024-01-05,241.48239944458007,230.33414947509766,253.66901739630472,230.63897820916404,266.8871346876992,202.96806367655867,0.0,54.531310750933635,1.1028686807266013,-0.0021831499656647054,-0.032104151730159784,0
240.4499969482422,11.33901596069336,0.012386614576639277,0.010075720763672235,240.547998046875,235.48819915771483,0.019893922902966616,0.9684999999999999,2024-01-08,241.55729934692383,230.58064949035645,249.63561981104866,231.46037628270133,266.81333681241415,204.16306150301554,21.218604590112292,56.08686184132397,0.6019833872324796,-0.0018509415250833076,-0.018738327073791184,1
234.9600067138672,11.21586799621582,-0.023096839566935645,-0.010919957597372743,237.8559997558594,236.07219940185547,0.02064912395590171,0.921,2024-01-09,241.65089935302734,230.79434951782227,241.80667774203093,233.90532176968784,266.20110216036306,205.9432966433479,15.27345392359257,56.3733224023522,-0.23525625898497537,0.012386614576639277,-0.00024148746074577508,0
233.94000244140625,11.206395149230957,-0.004350632806278706,-0.000844950171800572,236.9540008544922,236.60499938964844,0.019049444031378343,0.979,2024-01-10,241.79809936523438,231.01199951171876,242.10395704482303,231.80404466416135,265.57713274576605,207.63286603353083,28.37965353842283,55.82779170736556,-0.969900125944406,-0.023096839566935645,-0.04096122279932548,0
227.22000122070312,11.092720985412598,-0.029145966144498332,-0.010195484683150804,234.81200256347657,237.20219940185547,0.017176088459927956,0.22449999999999998,2024-01-11,241.91539932250976,231.1890495300293,244.68010543100579,224.94389969594735,264.0236591788542,210.38073962485674,17.799134202311862,56.62554431471922,-2.070491285744282,-0.004350632806278706,-0.0021831499656647054,0
218.88999938964844,10.855899810791016,-0.03734939877742937,-0.021580432564008184,231.09200134277344,237.56319946289062,0.017856044252226096,-0.013,2024-01-12,241.79149932861327,231.3375495147705,247.66082429945777,214.5231783860891,262.827753864129,212.29864506165222,12.071748700326452,53.92067510682777,-3.5736840352358,-0.029145966144498332,-0.0018509415250833076,0
219.91000366210938,10.855899810791016,0.004649070658851297,0.0,226.98400268554687,237.84819946289062,0.018755907769893627,0.703,2024-01-16,241.6586993408203,231.46769950866698,242.07083865964938,211.89716671144436,261.9380094960597,213.75838942972152,4.517290477178392,53.14722403791573,-4.629305546176852,-0.03734939877742937,0.012386614576639277,1
215.5500030517578,10.675914764404297,-0.020025473044372827,-0.016718445905877163,223.102001953125,237.78899963378908,0.018392566397240132,-0.013,2024-01-17,241.4455993652344,231.5690495300293,237.91357440990882,208.2904294963412,262.0864342297856,213.49156503779255,4.755261967294274,49.32079129463301,-5.751410134250705,0.004649070658851297,-0.023096839566935645,0
211.8800048828125,10.410675048828125,-0.017172815629643214,-0.025158520945663992,218.69000244140625,237.62739959716797,0.015917570313513502,0.318,2024-01-18,241.26399948120118,231.591149520874,230.11475381058878,207.26525107222372,262.5092798319536,212.74551936238234,4.232381801397736,48.164636886607816,-6.857772156797068,-0.020025473044372827,-0.004350632806278706,0
212.19000244140625,10.609604835510254,0.0014620115002590317,0.01892798068628899,215.6840026855469,237.48579956054687,0.01620182277093537,0.0,2024-01-19,240.99999954223634,231.67824951171875,223.08899370591254,208.27901166518123,262.8696080614951,212.1019910595986,7.518381274734068,48.38900458784495,-7.621699609596078,-0.017172815629643214,-0.029145966144498332,1
208.8000030517578,10.609604835510254,-0.016105240597581734,0.0,213.66600341796874,237.2181997680664,0.015887515837206132,0.278,2024-01-22,240.69979949951173,231.75934951782227,222.1266962314009,205.20531060453658,263.52589858094996,210.9105009551828,10.431386910232845,46.96213094248008,-8.40378859532683,0.0014620115002590317,-0.03734939877742937,0
209.13999938964844,10.77064323425293,0.0016270106278732431,0.015064506613918062,211.51200256347656,236.95879974365235,0.014268471580666046,0.84,2024-01-23,240.2193995666504,231.8774494934082,216.97843630889403,206.04556881805908,264.11658089227694,209.80101859502776,5.3852056650978,47.058823122329414,-8.893644490579561,-0.016105240597581734,0.004649070658851297,1
